subject_role,behavior,count
bystander,scr,1
bystander,stch,1
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
victim,scr,1
victim,stch,0
victim,sgrm,1
victim,pce,0
victim,ywn,0
bystander,scr,1
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
victim,scr,0
victim,stch,1
victim,sgrm,0
victim,pce,0
victim,ywn,0
bystander,scr,4
bystander,stch,0
bystander,sgrm,1
bystander,pce,0
bystander,ywn,0
victim,scr,4
victim,stch,0
victim,sgrm,0
victim,pce,0
victim,ywn,0
bystander,scr,1
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
victim,scr,6
victim,stch,1
victim,sgrm,0
victim,pce,0
victim,ywn,0
bystander,scr,2
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
bystander,scr,2
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
bystander,scr,0
bystander,stch,2
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
victim,scr,0
victim,stch,1
victim,sgrm,0
victim,pce,0
victim,ywn,0
victim,scr,3
victim,stch,2
victim,sgrm,0
victim,pce,0
victim,ywn,0
bystander,scr,1
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
bystander,scr,1
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
bystander,scr,0
bystander,stch,0
bystander,sgrm,1
bystander,pce,0
bystander,ywn,0
bystander,scr,2
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
victim,scr,0
victim,stch,0
victim,sgrm,0
victim,pce,5
victim,ywn,0
bystander,scr,1
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
victim,scr,1
victim,stch,0
victim,sgrm,0
victim,pce,1
victim,ywn,0
bystander,scr,2
bystander,stch,0
bystander,sgrm,1
bystander,pce,0
bystander,ywn,0
bystander,scr,1
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
bystander,scr,1
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
bystander,scr,1
bystander,stch,2
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
bystander,scr,0
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,1
bystander,scr,1
bystander,stch,0
bystander,sgrm,2
bystander,pce,0
bystander,ywn,0
bystander,scr,0
bystander,stch,0
bystander,sgrm,0
bystander,pce,3
bystander,ywn,0
victim,scr,1
victim,stch,0
victim,sgrm,1
victim,pce,4
victim,ywn,0
bystander,scr,3
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,1
victim,scr,0
victim,stch,1
victim,sgrm,0
victim,pce,0
victim,ywn,0
bystander,scr,2
bystander,stch,0
bystander,sgrm,1
bystander,pce,3
bystander,ywn,0
bystander,scr,4
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
victim,scr,0
victim,stch,0
victim,sgrm,0
victim,pce,0
victim,ywn,0
bystander,scr,2
bystander,stch,0
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
bystander,scr,10
bystander,stch,1
bystander,sgrm,0
bystander,pce,0
bystander,ywn,0
